workload,policy,privacy_mean,utility_mean,privacy_at_high_risk,utility_at_low_risk,consent_violations,latency_mean_ms
monotonic,Always-Raw,0.0,1.0,0.0,0.0,0,0.5
monotonic,Always-Weak,0.0165,0.8915,0.0051,0.0,0,1.0
monotonic,Always-Synthetic,0.5713,0.7802,0.5654,0.0,0,2.0
monotonic,Always-Pseudo,0.8571,0.5745,0.8551,0.0,0,1.5
monotonic,Always-Redact,1.0,0.0,1.0,0.0,17,1.0
monotonic,Adaptive,0.958,0.1232,0.9863,0.0,14,1.1324
bursty,Always-Raw,0.0,1.0,0.0,1.0,0,0.5
bursty,Always-Weak,0.1339,0.87,0.0035,0.8466,0,1.0
bursty,Always-Synthetic,0.6249,0.73,0.5642,0.6755,0,2.0
bursty,Always-Pseudo,0.875,0.5101,0.8547,0.4399,0,1.5
bursty,Always-Redact,1.0,0.0,1.0,0.0,17,1.0
bursty,Adaptive,0.6223,0.4737,0.9907,0.8466,10,1.0882
mixed,Always-Raw,0.0,1.0,0.0,1.0,0,0.5
mixed,Always-Weak,0.1683,0.8637,0.0063,0.8526,0,1.0
mixed,Always-Synthetic,0.6407,0.7154,0.5632,0.6894,0,2.0
mixed,Always-Pseudo,0.8802,0.4912,0.8544,0.4577,0,1.5
mixed,Always-Redact,1.0,0.0,1.0,0.0,17,1.0
mixed,Adaptive,0.4273,0.6432,0.9848,0.8526,6,1.0147
